Case ID,Activity,Start Date,End Date,Agent Position,Customer ID,Product,Service Type,Resource
Case 1,Inbound Call,9.3.10 8:05,9.3.10 8:10,FL,Customer 1,MacBook Pro,Referred to Servicer,Helen
Case 1,Handle Case,11.3.10 10:30,11.3.10 10:32,FL,Customer 1,MacBook Pro,Referred to Servicer,Helen
Case 1,Call Outbound,11.3.10 11:45,11.3.10 11:52,FL,Customer 1,MacBook Pro,Referred to Servicer,Henk
Case 17,Inbound Call,4.3.10 7:35,4.3.10 7:46,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,4.3.10 7:53,4.3.10 7:55,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,8.3.10 11:16,8.3.10 11:18,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,11.3.10 11:15,11.3.10 11:19,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Inbound Call,14.3.10 17:53,14.3.10 17:56,FL,Customer 15,MacBook Pro,Referred to Servicer,Monique
Case 19,Inbound Email,14.3.10 14:08,18.3.10 8:04,FL,Customer 17,MacBook Pro,Product Assistance,Henk
Case 19,Inbound Email,18.3.10 8:06,18.3.10 8:07,FL,Customer 17,MacBook Pro,Product Assistance,Henk
Case 19,Handle Case,18.3.10 8:07,18.3.10 8:08,FL,Customer 17,MacBook Pro,Product Assistance,Henk
Case 19,Handle Case,18.3.10 8:09,18.3.10 8:09,FL,Customer 17,MacBook Pro,Product Assistance,Henk
Case 20,Handle Case,27.3.10 11:39,27.3.10 11:39,FL,Customer 18,iPhone,Product Assistance,Mariska
Case 20,Handle Case,27.3.10 12:04,27.3.10 12:10,FL,Customer 18,iPhone,Product Assistance,Mariska
Case 20,Handle Case,4.4.10 9:34,4.4.10 9:34,FL,Customer 18,iPhone,Product Assistance,Mariska
Case 31,Inbound Call,20.3.10 10:48,20.3.10 10:50,FL,Customer 26,MacBook Pro,Referred to Servicer,Wil
Case 31,Handle Case,26.3.10 13:21,26.3.10 13:22,FL,Customer 26,MacBook Pro,Referred to Servicer,Wil
Case 31,Inbound Call,24.4.10 13:12,24.4.10 13:13,FL,Customer 26,MacBook Pro,Referred to Servicer,Erik
Case 38,Inbound Call,18.3.10 17:07,18.3.10 17:12,BL,Customer 33,MacBook Pro,Referred to Servicer,Steve
Case 38,Handle Case,19.3.10 8:10,19.3.10 8:12,BL,Customer 33,MacBook Pro,Referred to Servicer,Mathias
Case 38,Inbound Call,19.3.10 8:54,19.3.10 8:55,FL,Customer 33,MacBook Pro,Referred to Servicer,Karen
Case 38,Inbound Call,19.3.10 10:15,19.3.10 10:16,FL,Customer 33,MacBook Pro,Referred to Servicer,Harold
