Case ID,Activity,Start Date,End Date,Agent Position,Customer ID,Product,Service Type,Resource
Case 2,Inbound Call,4.3.10 11:43,4.3.10 11:46,FL,Customer 2,MacBook Pro,Referred to Servicer,Susi
Case 3,Inbound Call,25.3.10 9:32,25.3.10 9:33,FL,Customer 3,MacBook Pro,Referred to Servicer,Mary
Case 4,Inbound Call,6.3.10 11:41,6.3.10 11:51,FL,Customer 4,iPhone,Referred to Servicer,Fred
Case 5,Inbound Call,18.3.10 10:54,18.3.10 11:01,FL,Customer 5,MacBook Pro,Product Assistance,Kenny
Case 6,Inbound Call,25.3.10 17:09,25.3.10 17:13,FL,Customer 6,MacBook Pro,Referred to Servicer,Harold
Case 6,Inbound Call,25.3.10 17:16,25.3.10 17:18,FL,Customer 6,MacBook Pro,Referred to Servicer,Nancy
Case 6,Inbound Call,26.3.10 8:36,26.3.10 8:40,FL,Customer 6,MacBook Pro,Referred to Servicer,Elena
Case 7,Inbound Call,18.3.10 11:49,18.3.10 11:50,FL,Customer 7,MacBook Pro,Product Assistance,Karen
Case 8,Inbound Call,11.3.10 9:20,11.3.10 9:23,FL,Customer 8,MacBook Pro,Referred to Servicer,Karen
Case 11,Inbound Call,27.3.10 8:09,27.3.10 8:11,FL,Customer 11,iPhone,Product Assistance,Irena
Case 12,Inbound Call,29.3.10 9:28,29.3.10 9:29,FL,Customer 3,MacBook Pro,Product Assistance,Wil
Case 13,Inbound Call,5.3.10 10:13,5.3.10 10:15,FL,Customer 12,MacBook Pro,Product Assistance,Ton
Case 14,Inbound Call,4.3.10 7:49,4.3.10 7:50,FL,Customer 3,iPhone,Product Assistance,Wil
Case 15,Inbound Call,7.3.10 8:06,7.3.10 8:13,FL,Customer 13,iPhone,Product Assistance,Erik
Case 16,Inbound Call,25.3.10 10:26,25.3.10 10:34,FL,Customer 14,MacBook Pro,Referred to Servicer,Helen
Case 18,Inbound Call,25.3.10 10:35,25.3.10 10:38,FL,Customer 16,iPhone,Referred to Servicer,Karen
Case 21,Inbound Call,4.3.10 12:17,4.3.10 12:22,FL,Customer 19,iPhone,Product Assistance,Anne
Case 22,Inbound Call,22.3.10 8:30,22.3.10 8:31,FL,Customer 3,MacBook Pro,Product Assistance,Erik
Case 23,Inbound Call,22.3.10 14:59,22.3.10 15:13,FL,Customer 20,iPhone,Referred to Servicer,Ton
Case 24,Inbound Call,28.3.10 10:04,28.3.10 10:09,FL,Customer 21,iPhone,Referred to Servicer,Kenny
Case 26,Inbound Call,18.3.10 17:52,18.3.10 17:52,FL,Customer 23,iPhone,Product Assistance,Christian
Case 27,Inbound Call,29.3.10 14:33,29.3.10 14:35,FL,Customer 3,iPhone,Product Assistance,Anne
Case 29,Inbound Call,20.3.10 7:35,20.3.10 7:36,FL,Customer 3,MacBook Pro,Product Assistance,Henk
Case 30,Inbound Call,22.3.10 10:16,22.3.10 10:17,FL,Customer 25,iPhone,Product Assistance,Maja
Case 33,Inbound Call,8.3.10 11:40,8.3.10 11:47,FL,Customer 28,MacBook Pro,Referred to Servicer,Richard
Case 33,Inbound Call,8.3.10 12:03,8.3.10 12:04,FL,Customer 28,MacBook Pro,Referred to Servicer,Kenny
Case 34,Inbound Call,14.3.10 7:45,14.3.10 7:45,FL,Customer 29,iPhone,Referred to Servicer,Elena
Case 34,Inbound Call,14.3.10 7:45,14.3.10 7:48,FL,Customer 29,iPhone,Referred to Servicer,Elena
Case 35,Inbound Call,18.3.10 17:34,18.3.10 17:40,BL,Customer 30,iPhone,Referred to Servicer,Steve
Case 36,Inbound Call,22.3.10 15:23,22.3.10 15:29,FL,Customer 31,iPhone,Referred to Servicer,Clark
Case 37,Inbound Call,11.3.10 11:06,11.3.10 11:11,FL,Customer 32,MacBook Pro,Referred to Servicer,Elena
Case 39,Inbound Call,8.3.10 12:02,8.3.10 12:08,FL,Customer 34,MacBook Pro,Referred to Servicer,Richard
Case 42,Inbound Call,26.3.10 10:03,26.3.10 10:05,FL,Customer 36,iPhone,Referred to Servicer,Christian
Case 44,Inbound Call,7.3.10 14:59,7.3.10 15:04,FL,Customer 38,MacBook Pro,Referred to Servicer,Ton
Case 44,Inbound Call,19.3.10 17:36,19.3.10 17:37,FL,Customer 38,MacBook Pro,Referred to Servicer,Clark
Case 45,Inbound Call,7.3.10 11:14,7.3.10 11:15,FL,Customer 3,MacBook Pro,Product Assistance,Steffi
Case 46,Inbound Call,29.3.10 14:14,29.3.10 14:18,FL,Customer 39,MacBook Pro,Referred to Servicer,Clark
Case 48,Inbound Call,25.3.10 8:09,25.3.10 8:11,FL,Customer 41,MacBook Pro,Referred to Servicer,Elena
Case 50,Inbound Call,14.3.10 13:02,14.3.10 13:04,FL,Customer 43,MacBook Pro,Referred to Servicer,Johan
Case 53,Inbound Call,22.3.10 10:04,22.3.10 10:07,FL,Customer 46,iPhone,Referred to Servicer,Henk
Case 55,Inbound Call,9.3.10 7:17,9.3.10 7:24,FL,Customer 48,iPhone,Referred to Servicer,Helen
Case 56,Inbound Call,6.3.10 17:41,6.3.10 17:44,FL,Customer 49,MacBook Pro,Referred to Servicer,Harold
Case 56,Inbound Call,8.3.10 8:20,8.3.10 8:21,FL,Customer 49,MacBook Pro,Referred to Servicer,Maja
Case 56,Inbound Call,8.3.10 12:40,8.3.10 12:40,FL,Customer 49,MacBook Pro,Referred to Servicer,Monique
Case 56,Inbound Call,19.3.10 9:06,19.3.10 9:08,FL,Customer 49,MacBook Pro,Referred to Servicer,Richard
Case 56,Inbound Call,25.3.10 12:28,25.3.10 12:32,FL,Customer 49,MacBook Pro,Referred to Servicer,Johan
Case 56,Inbound Call,1.4.10 11:31,1.4.10 11:34,FL,Customer 49,MacBook Pro,Referred to Servicer,Michael
Case 56,Inbound Call,3.4.10 13:37,3.4.10 13:37,FL,Customer 49,MacBook Pro,Referred to Servicer,Nancy
Case 57,Inbound Call,29.3.10 8:56,29.3.10 8:58,FL,Customer 50,iPhone,Referred to Servicer,Henk
Case 58,Inbound Call,12.3.10 10:13,12.3.10 10:14,FL,Customer 51,iPhone,Product Assistance,Maja
Case 59,Inbound Call,6.3.10 11:58,6.3.10 11:59,FL,Customer 3,MacBook Pro,Product Assistance,Johan
Case 60,Inbound Call,4.3.10 14:18,4.3.10 14:19,FL,Customer 52,MacBook Pro,Product Assistance,Karen
Case 60,Inbound Call,29.3.10 15:34,29.3.10 15:37,FL,Customer 52,MacBook Pro,Product Assistance,Barbara
Case 61,Inbound Call,14.3.10 11:14,14.3.10 11:20,FL,Customer 53,iPhone,Referred to Servicer,Susi
Case 62,Inbound Call,22.3.10 11:34,22.3.10 11:36,FL,Customer 54,iPhone,Product Assistance,Henk
Case 64,Inbound Call,8.3.10 7:14,8.3.10 7:16,FL,Customer 56,MacBook Pro,Product Assistance,Samuil
Case 65,Inbound Call,6.3.10 9:48,6.3.10 9:49,FL,Customer 57,iPhone,Product Assistance,Kenny
Case 68,Inbound Call,25.3.10 13:41,25.3.10 13:44,FL,Customer 60,iPhone,Referred to Servicer,Michael
Case 69,Inbound Call,18.3.10 17:42,18.3.10 18:01,FL,Customer 61,iPhone,Referred to Servicer,Harold
Case 70,Inbound Call,7.3.10 14:14,7.3.10 14:15,FL,Customer 62,MacBook Pro,Referred to Servicer,Anne
Case 72,Inbound Call,6.3.10 11:03,6.3.10 11:04,FL,Customer 3,MacBook Pro,Product Assistance,Johan
Case 73,Inbound Call,8.3.10 10:36,8.3.10 10:38,FL,Customer 64,MacBook Pro,Referred to Servicer,Wil
Case 74,Inbound Call,13.3.10 17:32,13.3.10 17:45,FL,Customer 65,MacBook Pro,Product Assistance,Barbara
Case 75,Inbound Call,14.3.10 10:58,14.3.10 10:59,FL,Customer 66,iPhone,Referred to Servicer,Maja
Case 77,Inbound Call,26.3.10 8:49,26.3.10 8:51,FL,Customer 68,MacBook Pro,Referred to Servicer,Wil
Case 77,Inbound Call,5.4.10 8:43,5.4.10 8:44,FL,Customer 68,MacBook Pro,Referred to Servicer,Helen
Case 78,Inbound Call,11.3.10 15:28,11.3.10 15:33,FL,Customer 69,iPhone,Referred to Servicer,Clark
Case 79,Inbound Call,28.3.10 15:39,28.3.10 15:41,FL,Customer 70,MacBook Pro,Product Assistance,Anne
Case 80,Inbound Call,22.3.10 10:29,22.3.10 10:30,FL,Customer 3,iPhone,Product Assistance,Henk
Case 81,Inbound Call,2.3.10 14:04,2.3.10 14:07,FL,Customer 71,iPhone,Product Assistance,Ton
Case 82,Inbound Call,29.3.10 11:56,29.3.10 12:01,FL,Customer 72,iPhone,Referred to Servicer,Elena
Case 83,Inbound Call,22.3.10 9:25,22.3.10 9:28,FL,Customer 73,MacBook Pro,Referred to Servicer,Erik
Case 84,Inbound Call,25.3.10 10:23,25.3.10 10:38,FL,Customer 74,iPhone,Product Assistance,Kenny
Case 84,Inbound Call,25.3.10 11:08,25.3.10 11:11,FL,Customer 74,iPhone,Product Assistance,Johan
Case 85,Inbound Call,26.3.10 8:51,26.3.10 8:52,FL,Customer 3,iPhone,Product Assistance,Henk
Case 86,Inbound Call,13.3.10 7:51,13.3.10 7:53,FL,Customer 75,iPhone,Referred to Servicer,Irena
Case 88,Inbound Call,13.3.10 14:07,13.3.10 14:13,BL,Customer 77,iPhone,Product Assistance,Steve
Case 89,Inbound Call,5.3.10 9:44,5.3.10 9:47,FL,Customer 3,iPhone,Product Assistance,Maja
Case 90,Inbound Call,27.3.10 14:02,27.3.10 14:21,FL,Customer 78,MacBook Pro,Product Assistance,Clark
Case 91,Inbound Call,25.3.10 15:54,25.3.10 15:55,FL,Customer 79,MacBook Pro,Referred to Servicer,Monique
Case 92,Inbound Call,5.3.10 8:19,5.3.10 8:24,FL,Customer 80,MacBook Pro,Product Assistance,Erik
Case 94,Inbound Call,8.3.10 9:42,8.3.10 9:42,FL,Customer 3,MacBook Pro,Product Assistance,Richard
Case 95,Inbound Call,16.3.10 9:28,16.3.10 9:28,FL,Customer 82,iPhone,Referred to Servicer,David
Case 96,Inbound Call,20.3.10 11:28,20.3.10 11:32,FL,Customer 83,iPhone,Referred to Servicer,Irena
Case 96,Inbound Call,20.3.10 16:08,20.3.10 16:11,FL,Customer 83,iPhone,Referred to Servicer,Jochem
Case 96,Inbound Call,21.3.10 14:56,21.3.10 14:57,FL,Customer 83,iPhone,Referred to Servicer,Monique
Case 97,Inbound Call,26.3.10 11:36,26.3.10 11:40,FL,Customer 84,MacBook Pro,Referred to Servicer,Richard
Case 99,Inbound Call,5.3.10 10:00,5.3.10 10:02,FL,Customer 86,iPhone,Referred to Servicer,Johan
Case 100,Inbound Call,21.3.10 11:25,21.3.10 11:26,FL,Customer 3,iPhone,Product Assistance,Karen
Case 101,Inbound Call,25.3.10 10:33,25.3.10 10:35,FL,Customer 87,iPhone,Referred to Servicer,Christian
Case 102,Inbound Call,29.3.10 9:08,29.3.10 9:16,FL,Customer 3,MacBook Pro,Product Assistance,Samuil
Case 103,Inbound Call,22.3.10 8:22,22.3.10 8:23,FL,Customer 88,iPhone,Referred to Servicer,Erik
Case 104,Inbound Call,5.3.10 12:08,5.3.10 12:10,BL,Customer 89,iPhone,Product Assistance,Mathias
Case 105,Inbound Call,25.3.10 10:11,25.3.10 10:14,FL,Customer 90,iPhone,Referred to Servicer,Anne
Case 105,Inbound Call,25.3.10 11:21,25.3.10 11:24,FL,Customer 90,iPhone,Referred to Servicer,Kenny
Case 106,Inbound Call,6.3.10 9:14,6.3.10 9:15,FL,Customer 91,iPhone,Referred to Servicer,Erik
Case 107,Inbound Call,16.3.10 13:54,16.3.10 13:55,FL,Customer 92,iPhone,Product Assistance,Karen
Case 108,Inbound Call,27.3.10 8:23,27.3.10 8:31,FL,Customer 93,MacBook Pro,Product Assistance,Susi
Case 109,Inbound Call,20.3.10 15:09,20.3.10 15:10,FL,Customer 94,MacBook Pro,Product Assistance,Monique
Case 112,Inbound Call,22.3.10 9:26,22.3.10 9:29,FL,Customer 97,iPhone,Product Assistance,Elena
Case 112,Inbound Call,22.3.10 10:34,22.3.10 10:36,FL,Customer 97,iPhone,Product Assistance,Steffi
Case 113,Inbound Call,19.3.10 15:42,19.3.10 15:48,FL,Customer 98,MacBook Pro,Referred to Servicer,Steffi
Case 113,Inbound Call,19.3.10 15:58,19.3.10 16:02,FL,Customer 98,MacBook Pro,Referred to Servicer,Nancy
Case 114,Inbound Call,20.3.10 15:15,20.3.10 15:16,FL,Customer 99,iPhone,Product Assistance,Nancy
Case 115,Inbound Call,4.3.10 15:18,4.3.10 15:20,FL,Customer 100,MacBook Pro,Product Assistance,Nancy
Case 116,Inbound Call,22.3.10 18:04,22.3.10 18:07,FL,Customer 101,MacBook Pro,Referred to Servicer,Christian
Case 116,Inbound Call,25.3.10 15:41,25.3.10 15:47,FL,Customer 101,MacBook Pro,Referred to Servicer,Anne
Case 116,Inbound Call,29.3.10 11:57,29.3.10 11:59,FL,Customer 101,MacBook Pro,Referred to Servicer,Irena
Case 116,Inbound Call,29.3.10 15:20,29.3.10 15:21,FL,Customer 101,MacBook Pro,Referred to Servicer,Clark
