precio,agente_id,pais_id,recamaras,banos,m2_construccion,m2_terreno,pisos,codigo_frente_agua,codigo_vista,codigo_condicion,ano_construccion,ano_renovacion,codigo_postal,latitud,longitud,vista,condicion
494000,11,840,4,2.25,545.592,12801.6,1,0,0,3,1983,0,98045,47.4819,-121.744,0,2
671500,1,484,3,2.5,539.496,522.4272,3,0,0,3,2012,0,98103,47.6532,-122.348,0,2
630000,11,840,4,3,1109.472,1553.2608,2,0,0,3,2010,0,98118,47.5428,-122.27,0,2
355000,2,840,3,1,365.76,4876.8,1,0,0,3,1970,0,98072,47.7452,-122.101,0,2
795000,1,710,5,3.5,1014.984,1129.284,2,0,0,3,2008,0,98006,47.5567,-122.124,0,2
265000,1,826,2,1,304.8,9602.724,1,0,0,3,1960,0,98019,47.7659,-121.899,0,2
1049000,1,840,3,2.25,795.528,1023.2136,2,0,0,4,1926,0,98112,47.638,-122.306,0,3
236775,9,840,3,2.5,557.784,2551.7856,2,0,0,3,1987,0,98023,47.3116,-122.4,0,2
427200,2,484,3,1,313.944,2560.32,1,0,0,4,1963,0,98056,47.5364,-122.173,0,3
850000,9,124,2,1.5,673.608,1524,1,0,2,3,1951,0,98122,47.6122,-122.288,1,2
707900,5,840,3,1,533.4,1632.204,2,0,0,4,1929,0,98115,47.6792,-122.31,0,3
465000,1,484,1,1,310.896,975.36,1,0,0,3,1927,0,98109,47.6361,-122.343,0,2
908800,11,124,3,3,1042.416,2385.3648,2,0,0,4,1939,0,98144,47.5873,-122.29,0,3
480000,5,484,3,1.75,521.208,1243.584,1,0,0,4,1979,0,98136,47.5563,-122.392,0,3
975000,4,840,4,2.5,1042.416,55896.3576,2,0,0,3,2000,0,98053,47.633,-121.972,0,2
260000,2,124,4,1.75,551.688,2279.904,1,0,0,3,1977,0,98023,47.3275,-122.361,0,2
331950,11,356,4,2.5,771.144,3027.5784,2,0,2,3,1990,0,98092,47.2654,-122.216,1,2
678100,4,840,3,1.75,563.88,871.728,1.5,0,0,5,1931,0,98116,47.5853,-122.39,0,4
590000,1,840,4,2.25,771.144,3234.2328,1,0,0,5,1977,0,98006,47.5698,-122.132,0,4
299950,6,484,3,1,429.768,24695.2008,1,0,0,3,1949,1981,98058,47.4303,-122.067,0,2
580500,2,484,3,2.5,707.136,1213.104,2,0,0,3,2003,0,98027,47.5391,-122.07,0,2
850000,6,356,3,2.25,676.656,1129.8936,2,0,0,4,1919,0,98122,47.617,-122.286,0,3
656500,11,756,4,2,826.008,1447.8,1,0,0,4,1919,0,98115,47.6756,-122.305,0,3
490000,5,484,2,1,664.464,2834.64,1,0,0,4,1947,0,98177,47.7032,-122.371,0,3
525000,8,840,3,2,493.776,2377.44,1,0,0,3,1969,0,98034,47.7288,-122.171,0,2
560000,5,484,4,1.5,545.592,1042.416,1,0,0,4,1923,0,98103,47.6489,-122.337,0,3
527500,11,484,2,1,356.616,914.4,1.5,0,0,3,1910,0,98103,47.6697,-122.338,0,2
467000,11,484,5,2.25,762,4114.8,1,0,0,3,1979,0,98072,47.7564,-122.144,0,2
1225000,11,484,4,2.25,1063.752,2104.9488,2,0,0,4,1928,0,98199,47.6424,-122.407,0,3
690000,8,250,5,3.25,1018.032,2766.06,2,0,0,3,2005,0,98065,47.5446,-121.88,0,2
464600,1,484,3,1.75,341.376,1676.4,1.5,0,0,4,1925,0,98136,47.5445,-122.391,0,3
745000,3,124,3,1,423.672,2777.3376,1,0,0,4,1951,0,98004,47.6071,-122.197,0,3
139000,8,484,3,1,335.28,5283.4032,1,0,0,3,1978,0,98001,47.3003,-122.27,0,2
440000,11,356,3,2.5,316.992,314.5536,3,0,0,3,2007,0,98107,47.6673,-122.377,0,2
427000,11,410,5,2.75,676.656,1219.2,1,0,0,3,1973,0,98144,47.5754,-122.305,0,2
220000,11,840,4,2.5,682.752,2994.9648,1,0,0,4,1988,0,98023,47.314,-122.364,0,3
253000,8,124,3,2,454.152,2332.0248,1,0,0,3,1988,0,98003,47.3211,-122.325,0,2
650000,6,250,4,2,868.68,1370.6856,1.5,0,1,3,1910,0,98144,47.5876,-122.292,2,2
339275,1,840,3,1.5,484.632,2212.848,1,0,0,3,1964,0,98133,47.7753,-122.353,0,2
320000,11,484,3,2,573.024,3279.0384,1,0,0,5,1952,0,98059,47.5091,-122.144,0,4
470000,1,250,3,2,548.64,3861.5112,1,0,0,3,1956,1990,98033,47.6935,-122.173,0,2
257500,1,840,4,1.5,414.528,2841.6504,1,0,0,4,1968,0,98023,47.3168,-122.401,0,3
559000,1,170,2,3,502.92,292.608,3,0,0,3,2015,0,98103,47.6611,-122.346,0,2
500000,6,156,4,2.5,679.704,8226.2472,1,0,1,4,1962,0,98166,47.4285,-122.345,2,3
480000,1,643,3,1.75,890.016,6515.1,1,0,0,3,1961,0,98028,47.7666,-122.265,0,2
270000,8,76,3,1.75,490.728,1891.284,1,0,0,4,1979,0,98023,47.3004,-122.383,0,3
299950,5,356,3,2.25,417.576,1524,2,0,0,3,1990,0,98019,47.7372,-121.981,0,2
710000,8,356,4,2.5,932.688,1524,2,0,0,3,2006,0,98059,47.5395,-122.188,0,2
279000,7,124,3,2.5,469.392,2218.944,1,0,0,3,1974,0,98003,47.3102,-122.322,0,2
410000,4,356,4,2,481.584,2920.2888,1,0,0,3,1953,0,98033,47.692,-122.165,0,2
559950,11,840,5,3,832.104,2901.3912,1,0,0,3,2014,0,98155,47.7504,-122.307,0,2
585000,10,124,3,1.75,530.352,2895.6,1,0,3,4,1958,0,98146,47.4919,-122.365,4,3
625000,9,380,3,2.5,838.2,10668,2,0,0,3,1993,0,98077,47.75,-122.024,0,2
688000,7,630,4,3,1036.32,89221.9704,2,0,0,3,1998,0,98045,47.4883,-121.725,0,2
254500,1,840,4,2.75,783.336,2214.0672,2,0,0,3,1998,0,98092,47.258,-122.208,0,2
770000,8,484,3,2,716.28,1737.36,1.5,0,0,4,1939,0,98112,47.639,-122.31,0,3
261350,11,840,3,1.75,423.672,5547.36,1,0,0,4,1962,0,98023,47.3208,-122.337,0,3
417000,9,124,2,1,280.416,2011.68,1,0,0,3,1919,2003,98118,47.5452,-122.27,0,2
955000,4,840,4,3.25,1133.856,2061.972,2,0,0,3,2012,0,98053,47.688,-122.018,0,2
565000,2,170,3,2.5,518.16,2197.608,2,0,0,5,1966,0,98052,47.6688,-122.161,0,4
491500,3,484,3,2.25,475.488,3657.6,1,0,0,4,1968,0,98034,47.7256,-122.166,0,3
435000,11,124,2,2,438.912,356.616,2,0,0,3,2004,0,98116,47.5592,-122.385,0,2
267345,1,840,4,2.25,765.048,2488.692,1,0,0,4,1972,0,98023,47.3092,-122.372,0,3
594491,5,724,4,2.5,911.352,1840.0776,2,0,0,3,2013,0,98045,47.4766,-121.735,0,2
576000,4,756,3,1,347.472,1644.396,1,0,0,4,1909,0,98115,47.6782,-122.306,0,3
280000,2,840,4,2.5,624.84,2260.3968,2,0,0,3,1990,0,98092,47.2658,-122.219,0,2
560000,9,840,4,1.5,551.688,1036.32,2,0,0,3,1926,0,98112,47.6264,-122.302,0,2
348000,11,756,3,2.5,722.376,2286,1,0,3,3,1979,0,98198,47.4091,-122.331,4,2
658100,1,643,4,2.5,740.664,2593.5432,2,0,0,3,1992,0,98029,47.5714,-121.991,0,2
279000,1,156,4,2,603.504,3063.5448,1,0,0,3,1969,2003,98092,47.3231,-122.103,0,2
202200,7,484,2,1.75,405.384,658.0632,1,0,0,4,1979,0,98198,47.3822,-122.32,0,3
695000,4,840,4,2.5,917.448,3472.5864,2,0,0,3,2005,0,98028,47.7389,-122.221,0,2
372000,11,630,4,2.75,710.184,4320.54,1,0,0,3,1980,0,98031,47.4193,-122.194,0,2
679000,2,124,4,1.5,432.816,1500.5304,1.5,0,0,4,1928,0,98103,47.6901,-122.339,0,3
440000,1,124,4,1.5,515.112,989.076,1.5,0,0,3,1929,0,98126,47.5445,-122.375,0,2
655000,11,124,4,2.5,722.376,2900.7816,1,0,0,3,1984,0,98074,47.6222,-122.034,0,2
652500,7,124,4,2.5,822.96,2780.3856,2,0,0,3,1990,0,98029,47.5771,-121.994,0,2
295000,11,840,2,1,198.12,1645.92,1,0,0,3,1950,0,98122,47.6185,-122.295,0,2
499950,11,840,3,1.5,411.48,2839.212,1,0,0,3,1968,0,98052,47.6587,-122.124,0,2
660000,3,124,3,2.5,789.432,10863.072,1,0,0,3,1987,0,98029,47.5516,-122.03,0,2
279950,4,484,3,1.75,466.344,2682.24,1,0,0,4,1967,0,98058,47.4483,-122.158,0,3
470000,5,484,3,1.5,457.2,1524,1.5,0,0,4,1927,0,98117,47.679,-122.373,0,3
272500,9,484,3,1.75,469.392,3840.48,1,0,0,4,1980,0,98038,47.3624,-122.031,0,3
899000,2,484,3,1,451.104,2126.8944,2,0,0,4,1949,1985,98004,47.6497,-122.217,0,3
265000,7,356,3,2.5,576.072,1855.6224,2,0,0,3,1996,0,98002,47.2886,-122.218,0,2
883000,11,156,4,2.25,734.568,1219.2,2,0,0,5,1910,0,98115,47.6727,-122.316,0,4
252000,10,484,3,1.75,438.912,5126.4312,1.5,0,0,4,1925,0,98023,47.3318,-122.373,0,3
415000,4,840,3,2,612.648,10085.832,1.5,0,2,5,1986,0,98022,47.2133,-122.007,1,4
436300,1,840,3,2,707.136,2871.216,1,0,0,5,1952,0,98056,47.5133,-122.196,0,4
505000,1,840,3,2.5,608.076,452.0184,3,0,0,3,2005,0,98102,47.6025,-122.31,0,2
410000,9,840,2,1,451.104,1243.584,1,0,0,3,1949,0,98117,47.6842,-122.393,0,2
305495,11,840,3,1.75,643.128,3108.96,2,0,0,4,1966,0,98059,47.4744,-122.154,0,3
225000,1,484,2,1,313.944,2801.7216,1,0,0,4,1959,0,98058,47.4565,-122.181,0,3
415000,5,840,4,1.5,560.832,3464.6616,1.5,0,0,4,1950,0,98177,47.7656,-122.358,0,3
368000,7,124,3,1.75,521.208,3291.84,1,0,0,4,1958,0,98028,47.7391,-122.241,0,3
810000,1,840,4,3.5,1213.104,63862.6104,2,0,2,3,2006,0,98024,47.5574,-121.89,1,2
500000,11,124,2,1,536.448,8330.7936,1,1,4,4,1951,0,98198,47.3799,-122.325,3,3
530000,4,840,4,2.5,722.376,2926.3848,1,0,0,3,1976,0,98027,47.5327,-122.054,0,2
917500,11,124,4,2.5,1182.624,10668.9144,2,0,0,3,1984,0,98033,47.6477,-122.182,0,2
359950,6,484,3,2.25,591.312,3539.3376,1,0,0,4,1981,0,98178,47.5018,-122.23,0,3
273000,10,156,2,0.5,359.664,2362.2,1,0,0,4,1945,0,98155,47.769,-122.316,0,3
900000,1,840,3,3.5,1243.584,66354.0456,1.5,0,3,3,2000,0,98092,47.2604,-122.139,4,2
425000,11,840,2,1,234.696,1536.192,1,0,0,3,1930,0,98144,47.5964,-122.299,0,2
420000,10,356,4,1.75,591.312,3505.2,1,0,0,4,1955,0,98006,47.5774,-122.147,0,3
315000,11,643,3,1,326.136,2894.6856,1,0,0,3,1955,0,98028,47.7425,-122.23,0,2
267000,2,840,3,2.5,536.448,1974.1896,2,0,0,4,1986,0,98030,47.3731,-122.172,0,3
550000,8,484,3,1,384.048,1828.8,1,0,3,3,1951,0,98146,47.5058,-122.384,4,2
316000,11,484,3,1,307.848,2389.0224,1,0,0,4,1977,0,98019,47.7422,-121.981,0,3
354000,11,840,3,1.75,408.432,1920.24,1,0,0,3,1972,0,98034,47.7186,-122.218,0,2
