"X","artist_name","genres","followers","artist_popularity","artist_url","track_name","album_name","release_date","duration_ms","explicit","track_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","cluster_kmeans","cluster_pam","cluster_clara"
267,"Arcángel","latin hip hop, reggaeton, trap latino, urbano latino",15017847,77,"https://open.spotify.com/artist/4SsVbpTthjScTS7U2hmr1X","X'CLUSIVO - REMIX","X'CLUSIVO (REMIX)","2024-02-29",208133,"True",77,0.813,0.552,6,-6.328,1,0.0769,0.0702,0.000195,0.0542,0.773,146.953,2,1,1
803,"Rauw Alejandro","puerto rican pop, reggaeton, trap latino, urbano latino",22919287,79,"https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq","Déjame Entrar","Déjame Entrar","2024-07-18",254705,"True",79,0.674,0.7,0,-5.809,1,0.0473,0.342,3.57e-05,0.0994,0.255,102.031,2,1,1
457,"Alfredo Olivas","banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,78,"https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8","Vete","ALFA & OMEGA","2022-09-30",185240,"False",78,0.626,0.708,5,-7.097,1,0.0556,0.442,3.04e-06,0.137,0.883,168.162,1,1,1
140,"Romeo Santos","bachata, latin hip hop, latin pop, urbano latino",22006054,78,"https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP","Imitadora","Golden","2017-07-21",234828,"False",78,0.737,0.709,8,-6.889,0,0.045,0.333,0,0.289,0.556,125.997,2,1,1
630,"La Arrolladora Banda El Limón De Rene Camacho","banda, musica mexicana, norteno",7005423,69,"https://open.spotify.com/artist/5bSfBBCxY8QAk4Pifveisz","Entre Beso Y Beso","Calidad Y Cantidad","2018-03-23",182306,"False",69,0.863,0.641,9,-4.543,0,0.0379,0.197,0,0.0793,0.964,129.898,2,1,1
338,"El Alfa","dembow, rap dominicano, trap latino, urbano latino",3571462,75,"https://open.spotify.com/artist/2oQX8QiMXOyuqbcZEFsZfm","4K","4K","2020-03-12",201500,"False",75,0.918,0.893,3,-4.585,0,0.142,0.346,0.012,0.118,0.802,120.012,2,2,2
346,"El Alfa","dembow, rap dominicano, trap latino, urbano latino",3571462,69,"https://open.spotify.com/artist/2oQX8QiMXOyuqbcZEFsZfm","Besalo","El Androide","2020-05-15",163265,"False",69,0.765,0.79,4,-2.129,0,0.0488,0.394,0.000487,0.142,0.613,147.03,2,1,1
339,"El Alfa","dembow, rap dominicano, trap latino, urbano latino",3571462,75,"https://open.spotify.com/artist/2oQX8QiMXOyuqbcZEFsZfm","Tacata (Remix)","Tacata (Remix)","2023-12-22",156716,"True",75,0.922,0.678,9,-6.016,1,0.146,0.377,0.00279,0.412,0.58,134.012,2,2,2
935,"Alvaro Diaz","trap boricua, urbano latino",842057,67,"https://open.spotify.com/artist/5J7rXWjtn5HzUkJ4Jet8Fr","MAMI 100PRE SABE (INTERLUDE)","SAYONARA","2024-05-17",137933,"False",67,0.274,0.329,0,-11.206,1,0.0325,0.881,8.49e-05,0.192,0.362,171.38,1,3,3
151,"Aventura","bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",8480094,77,"https://open.spotify.com/artist/1qto4hHid1P71emI6Fd8xi","Los Infieles","K.O.B. Live","2006-12-19",257186,"False",77,0.745,0.716,9,-8.221,0,0.0411,0.202,0,0.059,0.817,132.932,2,1,1
632,"La Arrolladora Banda El Limón De Rene Camacho","banda, musica mexicana, norteno",7005423,68,"https://open.spotify.com/artist/5bSfBBCxY8QAk4Pifveisz","Te Estaré Esperando","Más Adelante","2009-01-01",244106,"False",68,0.693,0.619,2,-4.955,1,0.0373,0.667,0,0.12,0.783,117.934,1,3,3
