"CASE_ID","district","start_event","next_event","ep","moment_start","moment_end","diff"
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","594(B)(2)(A) VANDALISM/ -$400","484 PETTY THEFT CLOUT UNLOCKED -> 594(B)(2)(A) VANDALISM/ -$400",401,406,5
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","459 PC  BURGLARY RESIDENCE","484 PETTY THEFT CLOUT UNLOCKED -> 459 PC  BURGLARY RESIDENCE",401,406,5
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","TOWED/STORED VEHICLE","484 PETTY THEFT CLOUT UNLOCKED -> TOWED/STORED VEHICLE",401,407,6
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","594(B)(1)PC  VANDALISM +$400","484 PETTY THEFT CLOUT UNLOCKED -> 594(B)(1)PC  VANDALISM +$400",401,405,4
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","459 PC  BURGLARY VEHICLE","484 PETTY THEFT CLOUT UNLOCKED -> 459 PC  BURGLARY VEHICLE",401,406,5
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","CHILD WELFARE - I RPT","484 PETTY THEFT CLOUT UNLOCKED -> CHILD WELFARE - I RPT",401,403,2
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","10851(A)VC TAKE VEH W/O OWNER","484 PETTY THEFT CLOUT UNLOCKED -> 10851(A)VC TAKE VEH W/O OWNER",401,405,4
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","594(B)(2)(A) VANDALISM/ -$400","484 PETTY THEFT CLOUT UNLOCKED -> 594(B)(2)(A) VANDALISM/ -$400",401,405,4
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","10851(A)VC TAKE VEH W/O OWNER","484 PETTY THEFT CLOUT UNLOCKED -> 10851(A)VC TAKE VEH W/O OWNER",401,410,9
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","594(B)(1)PC  VANDALISM +$400","484 PETTY THEFT CLOUT UNLOCKED -> 594(B)(1)PC  VANDALISM +$400",401,405,4
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","459 PC  BURGLARY VEHICLE","484 PETTY THEFT CLOUT UNLOCKED -> 459 PC  BURGLARY VEHICLE",401,405,4
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","TELEPEST -I RPT","484 PETTY THEFT CLOUT UNLOCKED -> TELEPEST -I RPT",401,406,5
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","484 PETTY THEFT/LICENSE PLATE","484 PETTY THEFT CLOUT UNLOCKED -> 484 PETTY THEFT/LICENSE PLATE",401,406,5
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","10855 VC LSE/RENT NOT RETURNED","484 PETTY THEFT CLOUT UNLOCKED -> 10855 VC LSE/RENT NOT RETURNED",401,406,5
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","MISCELLANEOUS I RPT (ZMISC)","484 PETTY THEFT CLOUT UNLOCKED -> MISCELLANEOUS I RPT (ZMISC)",401,408,7
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","3056 PAROLE VIO - I RPT","484 PETTY THEFT CLOUT UNLOCKED -> 3056 PAROLE VIO - I RPT",401,402,1
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","459 PC  BURGLARY VEHICLE","484 PETTY THEFT CLOUT UNLOCKED -> 459 PC  BURGLARY VEHICLE",401,405,4
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","459 PC  BURGLARY VEHICLE","484 PETTY THEFT CLOUT UNLOCKED -> 459 PC  BURGLARY VEHICLE",401,406,5
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","LOST PROPERTY - I RPT","484 PETTY THEFT CLOUT UNLOCKED -> LOST PROPERTY - I RPT",401,404,3
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","PETTY THEFT - I RPT","484 PETTY THEFT CLOUT UNLOCKED -> PETTY THEFT - I RPT",401,406,5
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","5150 WI DANGER SELF/OTHERS","484 PETTY THEFT CLOUT UNLOCKED -> 5150 WI DANGER SELF/OTHERS",401,411,10
"G1001_B6A",6,"484 PETTY THEFT CLOUT UNLOCKED","BOMBS/THREATS/EXPLOSIV- I RPT","484 PETTY THEFT CLOUT UNLOCKED -> BOMBS/THREATS/EXPLOSIV- I RPT",401,409,8
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","TOWED/STORED VEHICLE","TOWED/STORED VEH-14602.6 -> TOWED/STORED VEHICLE",644,649,5
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","TOWED/STORED VEH-14602.6","TOWED/STORED VEH-14602.6 -> TOWED/STORED VEH-14602.6",644,650,6
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","TOWED/STORED VEH-14602.6","TOWED/STORED VEH-14602.6 -> TOWED/STORED VEH-14602.6",644,653,9
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","TOWED/STORED VEH-14602.6","TOWED/STORED VEH-14602.6 -> TOWED/STORED VEH-14602.6",644,654,10
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","TOWED/STORED VEHICLE","TOWED/STORED VEH-14602.6 -> TOWED/STORED VEHICLE",644,645,1
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","11377(A)HS POSS CNTRL SUBST","TOWED/STORED VEH-14602.6 -> 11377(A)HS POSS CNTRL SUBST",644,652,8
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","TRAFFIC-ACCIDENT INJURY","TOWED/STORED VEH-14602.6 -> TRAFFIC-ACCIDENT INJURY",644,652,8
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","TRAFFIC-ACCIDENT INJURY","TOWED/STORED VEH-14602.6 -> TRAFFIC-ACCIDENT INJURY",644,646,2
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","5150 WI DANGER SELF/OTHERS","TOWED/STORED VEH-14602.6 -> 5150 WI DANGER SELF/OTHERS",644,648,4
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","SUSPICIOUS VEHICLE - I RPT","TOWED/STORED VEH-14602.6 -> SUSPICIOUS VEHICLE - I RPT",644,648,4
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","MISCELLANEOUS I RPT (ZMISC)","TOWED/STORED VEH-14602.6 -> MISCELLANEOUS I RPT (ZMISC)",644,651,7
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","HARASSMENT - I RPT","TOWED/STORED VEH-14602.6 -> HARASSMENT - I RPT",644,647,3
"G1001_B6A",6,"TOWED/STORED VEH-14602.6","SUSP PERS-NO CRIME - I RPT","TOWED/STORED VEH-14602.6 -> SUSP PERS-NO CRIME - I RPT",644,652,8
"G1001_B6A",6,"TOWED/STORED VEHICLE","TOWED/STORED VEH-14602.6","TOWED/STORED VEHICLE -> TOWED/STORED VEH-14602.6",649,650,1
"G1001_B6A",6,"TOWED/STORED VEHICLE","TOWED/STORED VEH-14602.6","TOWED/STORED VEHICLE -> TOWED/STORED VEH-14602.6",649,653,4
"G1001_B6A",6,"TOWED/STORED VEHICLE","TOWED/STORED VEH-14602.6","TOWED/STORED VEHICLE -> TOWED/STORED VEH-14602.6",649,654,5
"G1001_B6A",6,"TOWED/STORED VEHICLE","11352(B)HS TRANS SUBST TO CNTY","TOWED/STORED VEHICLE -> 11352(B)HS TRANS SUBST TO CNTY",649,658,9
"G1001_B6A",6,"TOWED/STORED VEHICLE","290(F)1 W/I 5 DAYS ADD CHANGE","TOWED/STORED VEHICLE -> 290(F)1 W/I 5 DAYS ADD CHANGE",649,659,10
"G1001_B6A",6,"TOWED/STORED VEHICLE","245(A)(1)AWDW/NO FIREARM/CIVIL","TOWED/STORED VEHICLE -> 245(A)(1)AWDW/NO FIREARM/CIVIL",649,656,7
"G1001_B6A",6,"TOWED/STORED VEHICLE","11377(A)HS POSS CNTRL SUBST","TOWED/STORED VEHICLE -> 11377(A)HS POSS CNTRL SUBST",649,652,3
"G1001_B6A",6,"TOWED/STORED VEHICLE","475(A)PC POSS FORGED CHK/NOTE","TOWED/STORED VEHICLE -> 475(A)PC POSS FORGED CHK/NOTE",649,655,6
"G1001_B6A",6,"TOWED/STORED VEHICLE","TRAFFIC-ACCIDENT INJURY","TOWED/STORED VEHICLE -> TRAFFIC-ACCIDENT INJURY",649,652,3
"G1001_B6A",6,"TOWED/STORED VEHICLE","487(A) PC GRAND THEFT","TOWED/STORED VEHICLE -> 487(A) PC GRAND THEFT",649,657,8
"G1001_B6A",6,"TOWED/STORED VEHICLE","594(B)(1)VANDALISM GRAF +$400","TOWED/STORED VEHICLE -> 594(B)(1)VANDALISM GRAF +$400",649,657,8
"G1001_B6A",6,"TOWED/STORED VEHICLE","MISCELLANEOUS I RPT (ZMISC)","TOWED/STORED VEHICLE -> MISCELLANEOUS I RPT (ZMISC)",649,651,2
"G1001_B6A",6,"TOWED/STORED VEHICLE","SUSP PERS-NO CRIME - I RPT","TOWED/STORED VEHICLE -> SUSP PERS-NO CRIME - I RPT",649,652,3
"G1001_B6A",6,"VANDALISM - I RPT","MISSING PERSON","VANDALISM - I RPT -> MISSING PERSON",770,779,9
"G1001_B6A",6,"VANDALISM - I RPT","CASUALTY REPORT","VANDALISM - I RPT -> CASUALTY REPORT",770,776,6
"G1001_B6A",6,"VANDALISM - I RPT","459 PC  BURGLARY RESIDENCE","VANDALISM - I RPT -> 459 PC  BURGLARY RESIDENCE",770,779,9
"G1001_B6A",6,"VANDALISM - I RPT","459 PC  BURGLARY VEHICLE","VANDALISM - I RPT -> 459 PC  BURGLARY VEHICLE",770,771,1
"G1001_B6A",6,"VANDALISM - I RPT","496(A) RECEIVE STOLEN PROPERTY","VANDALISM - I RPT -> 496(A) RECEIVE STOLEN PROPERTY",770,777,7
"G1001_B6A",6,"VANDALISM - I RPT","TOWED/STORED VEHICLE","VANDALISM - I RPT -> TOWED/STORED VEHICLE",770,774,4
"G1001_B6A",6,"VANDALISM - I RPT","BURGLARY - I RPT","VANDALISM - I RPT -> BURGLARY - I RPT",770,772,2
"G1001_B6A",6,"VANDALISM - I RPT","484 PETTY THEFT/LICENSE PLATE","VANDALISM - I RPT -> 484 PETTY THEFT/LICENSE PLATE",770,780,10
"G1001_B6A",6,"VANDALISM - I RPT","23152(A) VC DUI-ALCOHOL/DRUGS","VANDALISM - I RPT -> 23152(A) VC DUI-ALCOHOL/DRUGS",770,775,5
"G1001_B6A",6,"VANDALISM - I RPT","10851(A)VC TAKE VEH W/O OWNER","VANDALISM - I RPT -> 10851(A)VC TAKE VEH W/O OWNER",770,773,3
"G1001_B6A",6,"VANDALISM - I RPT","459 PC  BURGLARY RESIDENCE","VANDALISM - I RPT -> 459 PC  BURGLARY RESIDENCE",770,780,10
