district,ep,cases_with_ep,support
1,10851(A)VC TAKE VEH W/O OWNER -> 10851(A)VC TAKE VEH W/O OWNER,19,0.215909091
1,459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY VEHICLE,10,0.113636364
1,459 PC  BURGLARY VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER,9,0.102272727
1,10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY VEHICLE,8,0.090909091
1,10851(A)VC TAKE VEH W/O OWNER -> 594(B)(1)PC  VANDALISM +$400,7,0.079545455
1,10851(A)VC TAKE VEH W/O OWNER -> 594(B)(2)(A) VANDALISM/ -$400,6,0.068181818
1,10851(A)VC TAKE VEH W/O OWNER -> MISSING PERSON,5,0.056818182
1,459 PC  BURGLARY RESIDENCE -> 10851(A)VC TAKE VEH W/O OWNER,5,0.056818182
1,459 PC  BURGLARY VEHICLE -> TOWED/STORED VEHICLE,5,0.056818182
1,THREATS - I RPT -> 459 PC  BURGLARY VEHICLE,5,0.056818182
1,10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEH-14602.6,4,0.045454545
1,530.5 PC USE PERSONAL ID INFO -> 459 PC  BURGLARY VEHICLE,4,0.045454545
1,10851(A)VC TAKE VEH W/O OWNER -> 211 PC  ROBBERY UNSPECIFIED,3,0.034090909
1,10851(A)VC TAKE VEH W/O OWNER -> 215(A) PC    CARJACKING,3,0.034090909
1,10851(A)VC TAKE VEH W/O OWNER -> 484 PETTY THEFT/LICENSE PLATE,3,0.034090909
1,10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEHICLE,3,0.034090909
1,242 PC  BATTERY CIVILIAN -> 10851(A)VC TAKE VEH W/O OWNER,3,0.034090909
1,459 PC  BURGLARY BUSINESS -> 10851(A)VC TAKE VEH W/O OWNER,3,0.034090909
1,459 PC  BURGLARY VEHICLE -> 484 PETTY THEFT/LICENSE PLATE,3,0.034090909
1,459 PC  BURGLARY VEHICLE -> MISSING PERSON,3,0.034090909
1,530 PC FALSE PERS. REC PROP -> 10851 VC AUTO THEFT LOCATE,3,0.034090909
1,594(B)(1)PC  VANDALISM +$400 -> 594(B)(1)PC  VANDALISM +$400,3,0.034090909
1,594(B)(2)(A) VANDALISM/ -$400 -> 10851(A)VC TAKE VEH W/O OWNER,3,0.034090909
1,MISCELLANEOUS I RPT (ZMISC) -> 10851(A)VC TAKE VEH W/O OWNER,3,0.034090909
1,NON INJ HR/MAIL OUT REPORT -> 10851(A)VC TAKE VEH W/O OWNER,3,0.034090909
1,THREATS - I RPT -> 10851(A)VC TAKE VEH W/O OWNER,3,0.034090909
1,TOWED/STORED VEH-14602.6 -> 211 PC  ROBBERY UNSPECIFIED,3,0.034090909
1,TOWED/STORED VEHICLE -> MISSING PERSON,3,0.034090909
1,10851(A)VC TAKE VEH W/O OWNER -> 211 PC ROBBERY-PURSE SNATCH,2,0.022727273
1,10851(A)VC TAKE VEH W/O OWNER -> 242 PC  BATTERY CIVILIAN,2,0.022727273
1,10851(A)VC TAKE VEH W/O OWNER -> 245(A)(2) AWDW/FIREARM/CIVILIA,2,0.022727273
1,10851(A)VC TAKE VEH W/O OWNER -> 484 PC  PETTY THEFT/ OUTSIDE,2,0.022727273
1,10851(A)VC TAKE VEH W/O OWNER -> 484G(B) PC ACCESS CARD FRAUD,2,0.022727273
1,10851(A)VC TAKE VEH W/O OWNER -> 5150 WI DANGER SELF/OTHERS,2,0.022727273
1,10851(A)VC TAKE VEH W/O OWNER -> MISCELLANEOUS I RPT (ZMISC),2,0.022727273
1,10851(A)VC TAKE VEH W/O OWNER -> NON INJ HR/MAIL OUT REPORT,2,0.022727273
1,10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT-NON INJURY,2,0.022727273
1,11364 HS POSS DRUG PARAPH -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,20002(A) HIT/RUN -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,211 PC  ROBBERY UNSPECIFIED -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,242 PC  BATTERY CIVILIAN -> 594(B)(2)(A) VANDALISM/ -$400,2,0.022727273
1,273.6(A) PC VIO DV COURT ORDER -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,459 PC  BURGLARY BUSINESS -> 484 PC PETTY THEFT,2,0.022727273
1,459 PC  BURGLARY RESIDENCE -> 10851 VC AUTO THEFT LOCATE,2,0.022727273
1,459 PC  BURGLARY RESIDENCE -> 484 PC  PETTY THEFT/ OUTSIDE,2,0.022727273
1,459 PC  BURGLARY RESIDENCE -> 487(A) GRAND THEFT-CLOUT-UNLOC,2,0.022727273
1,459 PC  BURGLARY RESIDENCE -> CHILD WELFARE - I RPT,2,0.022727273
1,459 PC  BURGLARY RESIDENCE -> LOST PROPERTY - I RPT,2,0.022727273
1,459 PC  BURGLARY RESIDENCE -> MISSING PERSON,2,0.022727273
1,459 PC  BURGLARY RESIDENCE -> TOWED/STORED VEH-14602.6,2,0.022727273
1,459 PC  BURGLARY RESIDENCE -> TRAFFIC-ACCIDENT-NON INJURY,2,0.022727273
1,459 PC  BURGLARY VEHICLE -> 10851 VC AUTO THEFT LOCATE,2,0.022727273
1,459 PC  BURGLARY VEHICLE -> 211 PC  ROBBERY UNSPECIFIED,2,0.022727273
1,459 PC  BURGLARY VEHICLE -> 246 PC SHOOT OCCUP DWELL/VEH,2,0.022727273
1,459 PC  BURGLARY VEHICLE -> 273.6(A) PC VIO DV COURT ORDER,2,0.022727273
1,459 PC  BURGLARY VEHICLE -> 594(B)(1)PC  VANDALISM +$400,2,0.022727273
1,459 PC  BURGLARY VEHICLE -> 594(B)(2)(A) VANDALISM/ -$400,2,0.022727273
1,459 PC  BURGLARY VEHICLE -> TELEPEST -I RPT,2,0.022727273
1,484 PC   PETTY THEFT/INSIDE -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,484 PC  PETTY THEFT/ OUTSIDE -> 10851 VC AUTO THEFT LOCATE,2,0.022727273
1,484 PC PETTY THEFT -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,484 PC PETTY THEFT -> 594(B)(2)(A) VANDALISM/ -$400,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> 459 PC  BURGLARY RESIDENCE,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> NON INJ HR/MAIL OUT REPORT,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> TOWED/STORED VEHICLE,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> TRAFFIC-ACCIDENT-NON INJURY,2,0.022727273
1,484J PC PUBLISH CARD INFO -> 484 PC   PETTY THEFT/INSIDE,2,0.022727273
1,487(A) PC GRAND THEFT -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,5150 WI DANGER SELF/OTHERS -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,5150 WI DANGER SELF/OTHERS -> TOWED/STORED VEHICLE,2,0.022727273
1,530.5 PC USE PERSONAL ID INFO -> 594(B)(2)(A) VANDALISM/ -$400,2,0.022727273
