"district","ep","cases_with_ep","support"
1,"10851(A)VC TAKE VEH W/O OWNER -> 10851(A)VC TAKE VEH W/O OWNER",8,0.0909090909090909
1,"10851(A)VC TAKE VEH W/O OWNER -> 594(B)(1)PC  VANDALISM +$400",7,0.0795454545454545
1,"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY VEHICLE",7,0.0795454545454545
1,"10851(A)VC TAKE VEH W/O OWNER -> MISSING PERSON",4,0.0454545454545455
1,"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY VEHICLE",3,0.0340909090909091
1,"10851(A)VC TAKE VEH W/O OWNER -> 594(B)(2)(A) VANDALISM/ -$400",3,0.0340909090909091
1,"459 PC  BURGLARY BUSINESS -> 10851(A)VC TAKE VEH W/O OWNER",3,0.0340909090909091
1,"459 PC  BURGLARY RESIDENCE -> 10851(A)VC TAKE VEH W/O OWNER",3,0.0340909090909091
1,"459 PC  BURGLARY VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER",3,0.0340909090909091
1,"530 PC FALSE PERS. REC PROP -> 10851 VC AUTO THEFT LOCATE",3,0.0340909090909091
1,"MISCELLANEOUS I RPT (ZMISC) -> 10851(A)VC TAKE VEH W/O OWNER",3,0.0340909090909091
1,"10851(A)VC TAKE VEH W/O OWNER -> 245(A)(2) AWDW/FIREARM/CIVILIA",2,0.0227272727272727
1,"10851(A)VC TAKE VEH W/O OWNER -> 484 PC  PETTY THEFT/ OUTSIDE",2,0.0227272727272727
1,"10851(A)VC TAKE VEH W/O OWNER -> 484 PETTY THEFT/LICENSE PLATE",2,0.0227272727272727
1,"10851(A)VC TAKE VEH W/O OWNER -> MISCELLANEOUS I RPT (ZMISC)",2,0.0227272727272727
1,"10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEH-14602.6",2,0.0227272727272727
1,"10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT-NON INJURY",2,0.0227272727272727
1,"20002(A) HIT/RUN -> 10851(A)VC TAKE VEH W/O OWNER",2,0.0227272727272727
1,"459 PC  BURGLARY RESIDENCE -> 484 PC  PETTY THEFT/ OUTSIDE",2,0.0227272727272727
1,"459 PC  BURGLARY RESIDENCE -> TRAFFIC-ACCIDENT-NON INJURY",2,0.0227272727272727
1,"459 PC  BURGLARY VEHICLE -> 273.6(A) PC VIO DV COURT ORDER",2,0.0227272727272727
1,"459 PC  BURGLARY VEHICLE -> 484 PETTY THEFT/LICENSE PLATE",2,0.0227272727272727
1,"459 PC  BURGLARY VEHICLE -> MISSING PERSON",2,0.0227272727272727
1,"459 PC  BURGLARY VEHICLE -> TELEPEST -I RPT",2,0.0227272727272727
1,"459 PC  BURGLARY VEHICLE -> TOWED/STORED VEHICLE",2,0.0227272727272727
1,"484 PC PETTY THEFT -> 459 PC  BURGLARY VEHICLE",2,0.0227272727272727
1,"484 PETTY THEFT/LICENSE PLATE -> 10851(A)VC TAKE VEH W/O OWNER",2,0.0227272727272727
