"ep","cases_with_ep","support"
"10851(A)VC TAKE VEH W/O OWNER -> 10851(A)VC TAKE VEH W/O OWNER",102,0.168316831683168
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY VEHICLE",95,0.156765676567657
"TOWED/STORED VEHICLE -> TOWED/STORED VEHICLE",85,0.14026402640264
"TOWED/STORED VEH-14602.6 -> TOWED/STORED VEH-14602.6",77,0.127062706270627
"459 PC  BURGLARY RESIDENCE -> TOWED/STORED VEH-14602.6",76,0.125412541254125
"459 PC  BURGLARY RESIDENCE -> TOWED/STORED VEHICLE",75,0.123762376237624
"459 PC  BURGLARY VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER",75,0.123762376237624
"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY VEHICLE",73,0.12046204620462
"TOWED/STORED VEHICLE -> TOWED/STORED VEH-14602.6",73,0.12046204620462
"10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEH-14602.6",71,0.117161716171617
"459 PC  BURGLARY RESIDENCE -> 10851(A)VC TAKE VEH W/O OWNER",70,0.115511551155116
"10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEHICLE",68,0.112211221122112
"TOWED/STORED VEH-14602.6 -> 10851(A)VC TAKE VEH W/O OWNER",68,0.112211221122112
"TOWED/STORED VEH-14602.6 -> TOWED/STORED VEHICLE",64,0.105610561056106
"TOWED/STORED VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER",64,0.105610561056106
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY RESIDENCE",63,0.103960396039604
"10851(A)VC TAKE VEH W/O OWNER -> 594(B)(2)(A) VANDALISM/ -$400",62,0.102310231023102
"10851(A)VC TAKE VEH W/O OWNER -> 10851 VC AUTO THEFT LOCATE",59,0.0973597359735974
"TOWED/STORED VEHICLE -> 459 PC  BURGLARY VEHICLE",54,0.0891089108910891
"459 PC  BURGLARY RESIDENCE -> 459 PC  BURGLARY VEHICLE",52,0.0858085808580858
"TOWED/STORED VEH-14602.6 -> 459 PC  BURGLARY VEHICLE",51,0.0841584158415842
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY BUSINESS",50,0.0825082508250825
"10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT INJURY",50,0.0825082508250825
"TOWED/STORED VEHICLE -> 10851 VC AUTO THEFT LOCATE",50,0.0825082508250825
"10851(A)VC TAKE VEH W/O OWNER -> CASUALTY REPORT",49,0.0808580858085809
"10851(A)VC TAKE VEH W/O OWNER -> MISSING PERSON",49,0.0808580858085809
"459 PC  BURGLARY VEHICLE -> TOWED/STORED VEH-14602.6",49,0.0808580858085809
"594(B)(2)(A) VANDALISM/ -$400 -> 10851(A)VC TAKE VEH W/O OWNER",49,0.0808580858085809
"TOWED/STORED VEHICLE -> 459 PC  BURGLARY RESIDENCE",49,0.0808580858085809
"10851 VC AUTO THEFT LOCATE -> 10851(A)VC TAKE VEH W/O OWNER",47,0.0775577557755776
"10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT-NON INJURY",46,0.0759075907590759
"10851 VC AUTO THEFT LOCATE -> TOWED/STORED VEH-14602.6",44,0.0726072607260726
"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY RESIDENCE",44,0.0726072607260726
"10851 VC AUTO THEFT LOCATE -> TOWED/STORED VEHICLE",42,0.0693069306930693
"10851(A)VC TAKE VEH W/O OWNER -> 20002(A) HIT/RUN",42,0.0693069306930693
"459 PC  BURGLARY VEHICLE -> TOWED/STORED VEHICLE",42,0.0693069306930693
"459 PC  BURGLARY RESIDENCE -> 459 PC  BURGLARY RESIDENCE",41,0.0676567656765677
"10851(A)VC TAKE VEH W/O OWNER -> 484 PETTY THEFT/LICENSE PLATE",40,0.066006600660066
"MISSING PERSON -> TOWED/STORED VEHICLE",40,0.066006600660066
"10851(A)VC TAKE VEH W/O OWNER -> 23152(A) VC DUI-ALCOHOL/DRUGS",39,0.0643564356435644
"10851(A)VC TAKE VEH W/O OWNER -> 5150 WI DANGER SELF/OTHERS",39,0.0643564356435644
"10851(A)VC TAKE VEH W/O OWNER -> 594(B)(1)PC  VANDALISM +$400",39,0.0643564356435644
"TOWED/STORED VEH-14602.6 -> TRAFFIC-ACCIDENT INJURY",38,0.0627062706270627
"TOWED/STORED VEHICLE -> MISSING PERSON",38,0.0627062706270627
"TOWED/STORED VEH-14602.6 -> 459 PC  BURGLARY RESIDENCE",37,0.0610561056105611
"10851 VC AUTO THEFT LOCATE -> 459 PC  BURGLARY VEHICLE",36,0.0594059405940594
"10851(A)VC TAKE VEH W/O OWNER -> 11364 HS POSS DRUG PARAPH",36,0.0594059405940594
"TRAFFIC-ACCIDENT-NON INJURY -> TOWED/STORED VEH-14602.6",36,0.0594059405940594
"10851(A)VC TAKE VEH W/O OWNER -> FOUND PROPERTY - I RPT",34,0.0561056105610561
"459 PC  BURGLARY RESIDENCE -> 594(B)(2)(A) VANDALISM/ -$400",34,0.0561056105610561
"459 PC  BURGLARY RESIDENCE -> MISSING PERSON",34,0.0561056105610561
"459 PC  BURGLARY VEHICLE -> 10851 VC AUTO THEFT LOCATE",33,0.0544554455445545
