precio,tcons,recamaras,tterreno,numban,condicion
489500,637.032,3,19982.078400000002,1.75,3
247000,460.24800000000005,3,3314.7000000000003,2.5,3
320000,521.208,4,3194.304,1.75,4
175000,381,3,2979.42,1,3
399500,780.288,4,2283.5616,2.5,3
1650000,847.344,4,3628.3392000000003,2.5,5
468000,655.32,4,2488.692,2.5,3
355000,502.92,3,3070.86,1,3
147500,466.34400000000005,3,2590.1904,1,3
770000,1301.496,4,1945.8432,3.25,3
325000,478.536,3,957.9864,2.5,3
529941,505.968,3,3048,2,4
180000,332.232,3,2063.8008,1,3
675000,777.24,4,1097.28,3.5,3
295000,426.72,4,3637.4832,1.75,3
365000,697.9920000000001,3,2240.28,2.25,3
175000,213.36,2,2491.4352000000003,1,3
441000,576.072,3,3363.7728,2.5,3
580000,481.584,3,2592.6288,2.25,3
685000,627.888,3,883.9200000000001,2,5
818000,749.808,4,2438.7048,2.25,4
468000,417.576,3,2346.0456,1.5,3
1550000,993.648,4,1524,3.5,5
353500,990.6,4,1417.3200000000002,2.5,3
460000,329.184,2,1524,2,5
433000,658.368,3,2610.612,1.75,3
1017000,794.004,3,675.4368000000001,2.5,4
815000,736.092,3,666.2928,2.5,3
366350,512.0640000000001,4,1537.1064000000001,1,4
442500,758.952,4,2651.76,2.25,3
1052000,566.928,3,13542.568800000001,1,4
655000,707.1360000000001,3,1438.9608,2.5,3
639900,710.1840000000001,3,1267.968,2.5,4
450000,323.088,3,1417.3200000000002,1,3
1445000,1057.656,4,2615.184,3.5,3
676000,527.304,3,2067.7632000000003,2,4
190000,481.584,4,1905,2,3
785000,487.68,3,2937.6624,2,5
499000,685.8000000000001,4,4312.6152,2.75,3
370000,704.0880000000001,4,4494.276,2.75,3
649950,1008.888,3,118166.08320000001,2.5,3
525000,649.224,3,426.72,2.75,3
277284,313.944,3,1463.04,1.75,3
740000,1114.044,5,15799.6128,3,5
875909,1100.328,4,4051.4016,2.5,3
375000,396.24,3,415.1376,2.5,3
595000,719.3280000000001,4,13111.581600000001,2.5,3
925000,1252.728,3,6370.320000000001,3.25,3
718000,990.6,5,2468.88,2.75,3
438000,554.736,3,2788.92,2.25,3
439000,451.10400000000004,3,2305.812,2.25,3
550500,774.192,3,2523.744,1.75,3
980000,688.8480000000001,4,5398.312800000001,1.75,4
325000,252.984,2,1554.48,1,3
745000,697.9920000000001,3,1524.3048000000001,2,4
325000,472.44,2,696.4680000000001,2.25,3
365000,332.232,3,1961.3880000000001,1,4
785000,1115.568,5,3656.076,3.25,3
657100,423.672,4,1292.352,1,3
1200690,1109.472,5,8696.248800000001,3,3
191000,243.84,3,2697.48,1.5,4
561000,609.6,3,2133.6,2,3
390000,932.6880000000001,4,2414.016,2.25,3
675000,1121.664,4,5731.4592,4,3
550000,829.056,3,18992.088,2.5,3
610000,643.128,4,1524,3,4
530000,591.312,4,2520.696,2.25,5
475000,524.256,3,1165.8600000000001,1.75,3
819900,960.12,5,2169.8712,2.75,3
368000,505.968,2,1426.4640000000002,1.5,5
485000,384.048,2,377.952,2.25,3
619500,518.1600000000001,3,1251.204,2.5,3
700000,847.344,4,2400.3,3.25,3
515000,975.36,4,1972.9704000000002,2.5,3
725000,835.152,4,3931.6152,2.5,4
540000,792.48,3,1549.9080000000001,1.5,4
559900,893.0640000000001,3,1697.4312,2.75,3
472500,533.4,3,4724.400000000001,2,3
550000,560.832,3,925.0680000000001,2.5,3
210000,338.32800000000003,3,2426.8176000000003,1,3
150000,402.336,3,2505.456,1,3
161700,524.256,4,2194.56,1.75,3
257000,710.1840000000001,4,2329.2816000000003,2.75,3
365000,548.64,3,822.96,2.5,3
502000,396.24,3,2682.2400000000002,1.75,4
229950,396.24,4,6400.8,1.75,4
920000,737.616,4,1219.2,3.25,5
430000,576.072,4,1828.8000000000002,1.75,4
465000,455.37120000000004,2,5873.8008,2,3
1200000,1271.016,4,2971.1904,3.5,3
507000,1173.48,5,4952.6952,3.25,3
711000,603.504,4,3291.84,1.75,5
790000,624.84,4,3328.416,1.75,3
275000,359.66400000000004,2,1997.0496,1,4
649950,457.20000000000005,3,419.1,2.5,3
430000,396.24,3,3880.4088,1.75,3
364000,548.64,3,850.392,2.5,3
150000,271.272,2,2468.88,1,3
234000,316.992,3,2477.4144,1,3
263400,414.528,4,18455.0304,2,3
739900,1002.792,5,1532.8392000000001,2.5,3
1135250,2231.136,5,66385.44,4,3
249000,332.232,2,818.6928,1.5,3
525000,475.488,3,2849.88,1.5,4
300000,569.976,3,1048.2072,2.5,3
1750000,1417.3200000000002,4,2334.768,4.5,3
540000,445.00800000000004,2,1463.04,1.75,5
1520000,1807.4640000000002,5,4050.1824,3.5,3
520000,377.952,4,1381.3536000000001,1.75,4
699000,509.016,3,1638.3000000000002,1.75,3
100000,234.696,2,5283.403200000001,1,3
990000,658.368,3,1828.8000000000002,2.5,4
427000,609.6,3,2167.4328,1.75,4
780000,649.224,3,3591.1536,2.25,4
277000,563.88,4,1792.2240000000002,2.5,3
268500,554.736,4,4145.280000000001,1.75,3
875000,1438.6560000000002,5,5712.2568,4.25,3
390000,563.88,3,4623.816,1.75,3
255000,521.208,3,3657.6000000000004,1,4
480000,487.68,3,2560.32,1.75,5
630000,490.728,3,388.62,3.25,3
475200,509.016,3,1213.104,2.5,3
527000,682.7520000000001,3,1965.96,2.25,3
475000,646.176,4,17388.84,2.5,3
305000,501.7008,3,2901.3912,2.25,3
330000,268.224,2,1219.2,1,3
1525000,1825.7520000000002,4,33856.574400000005,3.5,3
265000,499.872,3,2337.2064,2.5,3
436000,487.68,4,4585.4112000000005,2,3
585000,509.016,3,1524,1.5,4
465000,667.5120000000001,4,995.7816,2.75,3
489000,551.688,2,1286.256,1.75,3
438000,365.76,3,1219.2,1,4
415000,566.928,3,2744.1144,1.5,3
898000,786.384,3,3371.088,2.25,3
318000,429.76800000000003,3,2715.4632,2.25,3
527000,710.1840000000001,4,5924.0928,2.25,3
300000,624.84,4,2667,2,3
379500,646.176,4,16330.574400000001,2.25,4
303000,335.28000000000003,2,8231.7336,1,4
660000,807.72,3,3429,2.5,3
347000,286.512,3,2803.5504,1,3
520000,408.432,2,416.9664,1.75,3
550388,524.256,3,21508.8216,3,5
260000,685.8000000000001,4,2238.7560000000003,2.75,4
335000,518.1600000000001,3,2041.5504,2.5,3
242500,472.44,3,580.644,1.75,3
440000,688.8480000000001,3,1615.44,1.5,3
330000,463.29600000000005,3,915.3144000000001,2.5,3
720000,771.144,4,1584.96,2.25,4
251000,502.92,4,1820.8752000000002,2,5
420000,533.4,4,2926.08,1,4
1225000,871.7280000000001,3,1371.6000000000001,2.5,3
775000,307.848,2,1097.28,1,3
760369,874.7760000000001,5,1436.2176000000002,2.5,3
443950,609.6,3,10972.800000000001,1.75,3
1200000,969.264,4,3998.3664000000003,2.5,4
825000,621.792,4,2103.12,1.5,3
294950,353.56800000000004,3,2727.96,1,3
445000,384.048,3,335.88960000000003,2.5,3
